University name,Description about university,Short Information,Programs
Sejong University,"Sejong University is a private university located in Seoul, South Korea, known for its standing in hospitality and tourism management, dancing, animation, and other specialized fields.

The university was founded in 1940 as the Kyung Sung Humanities Institute, and later became a teaching college for women before gaining university status in 1978, when it was named after Sejong the Great, the fourth king of the Chosun Dynasty.

Sejong University has nine undergraduate colleges and a Faculty of Open major, offering a wide range of academic programs across disciplines such as liberal arts, social sciences, business, natural sciences, engineering, arts, and physical education. The university also has several graduate schools, including the Graduate School of Business, Graduate School of Public Policy, and Graduate School of Tourism.

Sejong University is highly ranked in South Korea, coming in at #8-9 in the THE National General rankings, #12 in the QS National General rankings, and #9-12 in the ARWU National Research rankings. Globally, the university is ranked #=436 in the QS World University Rankings 2024.

The university is known for its innovative approaches to teaching and research, including a problem-based learning curriculum, expanded industry-academia partnerships, and the addition of interdisciplinary and classics courses. Sejong has also established specialized research centers, such as the Graphene Research Institute, and a department for national defense.

Sejong University has a diverse campus life, with cultural and artistic spaces like the Sejong University Museum and the DaeYang Hall auditorium. The university also offers various international exchange and dual degree programs.","University ranking: 436
 Language requirement: IELTS 5.5
    Tuition fee: 4,500,000 - 6,000,000 KRW
   Application fee: 192,000 KRW
 Deadline: 1)03.05-03.18  2)04.25-05.09  3)06.13-06.20","Liberal Arts: Korean Language and Literature, International Studies, History, Education, Division of Global Leadership (English Track)

Social Sciences: Public Administration(English Track), Media and Communication (English Track), Law

Business and Economics: Faculty of Business Administration, Faculty of Business Administration(English Track), Economics (English Track)

Hospitality and Tourism Management: Faculty of Hospitality,Tourism and Food Service Management, Faculty of Hospitality,Tourism and Food Service Management (English Track)

Natural Sciences: Mathematics and Statistics, Faculty of Mathematics, Physics and Astronomy, Chemistry

Life Sciences: Faculty of Biological Systems, Integrative Biological Sciences and Industry

College of Convergence: Electrical Engineering, Semiconductor Systems Engineering, Computer Science and Engineering (English Track), Computer and Information Security, Software, Artificial Intelligence and Robotics, Artificial Intelligence and Data Science, School of Intelligent Mechatronics Engineering, Creative Studies, Data Science, Artificial Intelligence

Engineering: Architectural Engineering, Architecture, Civil and Environmental Engineering, Environment, Energy & Geoinformatics, Energy Resources and Geosystems Engineering, School of Aerospace and Drone Engineering, Faculty of Mechanical and Aerospace Engineering, Nano Technology and Advanced Materials Engineering, Quantum and Nuclear Engineering

Education: Painting, Fashion Design(English Track), Music(English Track), Physical Education, Dance, Film Art"
Chung Ang Univeristy,"Chung-Ang University is one of the top leading private research universities in Seoul, South Korea. It was established in 1916 and has upheld the ideal of ""Truth and Justice"" as its motto.

CAU has two main campuses - the main campus in Seoul and an additional campus in Anseong. The university comprises 15 undergraduate colleges and 17 graduate schools, offering a wide range of academic programs across disciplines such as law, humanities, social sciences, natural sciences, engineering, business, and more.

Chung-Ang University is highly ranked nationally and internationally. It is ranked #=494 in the QS World University Rankings 2024, and has been ranked in the top 12-13 universities in South Korea in national rankings. The university is particularly strong in fields like medicine, pharmacy, culture and art education.

CAU has a strong focus on internationalization, with over 600 partner universities around the world and around 1,000 exchange students received annually. The university offers a range of international programs and has a diverse student population, with around 3,500 international students.

Beyond academics, Chung-Ang University is known for its vibrant campus life and cultural contributions. It hosts an annual summer student festival called ""LUCAUS"" and has produced notable alumni in fields like film, drama, and the arts.

The university has also been successful in securing significant government funding, receiving 32.8 billion KRW in recent years to support its research and development initiatives. CAU is committed to fostering global leaders and setting new standards in higher education.","University ranking: 494
Language requirement: IELTS 5.5/TOPIK 4.0
Tuition fee: 4,600,000 - 7,000,000 KRW 
 Application fee: 180,000 KRW
Deadline: 03.22-04.19","Humanities: Korean Language & Literature, English Language & Literature, European Languages & Cultures, Asian Languages & Cultures, Philosophy, History

Social Sciences: Political Science, Public Administration, Psychology, Library & Information Science, Social Welfare, Media Communication, Sociology, Urban Planning and Real Estate

Business&Economics: Business Administration, Economics, Applied Statistics, Advertising & Public Relations, International Logistics

Natural Sciences: Physics, Chemistry, Biological Sciences, Mathematics

Biotechnology and Natural Resources: Bioresource & Bioscience, Food Science & Technology

Engineering: Civil & Environmental Engineering, Urban Design & Studies, Architecture & Building Science, Chemical Engineering & New Material Science, Mechanical Engineering 

ICT Engineering: Electrical and Electronics Engineering, Software

Arts: Performing Arts and Media, Design, Korean music, Global School of Arts

Sport: Sports Science"
Ewha Womans University,"Ewha Womans University is a private women's research university located in Seoul, South Korea. It was originally founded in 1886 as Ewha Haktang, a mission school for girls established by American Methodist missionary Mary F. Scranton. The name ""Ewha"", meaning ""Pear Blossom"", was bestowed by Emperor Gojong the following year.

Ewha Womans University is the largest university for women in South Korea, with over 21,500 enrolled students as of 2018. While the university was historically all-female, it now has a small percentage of male international students, making up around 30% of the foreign student population.

The university offers a wide range of academic programs across 15 undergraduate colleges and 17 graduate schools, covering fields such as humanities, social sciences, natural sciences, engineering, arts, and more. It is particularly known for its programs in theology, leadership, and the liberal arts.

Ewha Womans University is highly ranked both nationally and globally. It is ranked #=498 in the QS World University Rankings 2024 and is considered one of the top universities in South Korea. The university has also established partnerships with over 830 institutions in 64 countries for international exchange and collaboration.

The university's campus in Seoul is known for its unique underground Ewha Campus Complex (ECC) designed by renowned architect Dominique Perrault. The campus is renowned for its beautiful scenery, especially during the spring and autumn seasons.

Beyond academics, Ewha Womans University is recognized for its contributions to Korean society, having produced many influential alumnae in fields like theology, history, literature, and the arts. The university is committed to nurturing women leaders and promoting the ideals of ""Truth and Justice"".","University ranking: 498
Language requirement: IELTS 6.0
Tuition fee: 4,100,000 - 5,500,000 KRW
Application fee: 150,000 KRW
Deadline: 03.07-04.11","College of Liberal Arts: Korean Language & Literature Chinese Language & Literature French Language & Literature German Language & Literature History
Philosophy Christian Studies Division of English Language & Literature
College of Social Sciences: Political Science & International Relations, Public Administration, Economics, Library & Information Science, Sociology, Social Welfare, Psychology, Consumer Studies, Division of Communication & Media

College of Natural Sciences: Mathematics, Statistics, Physics, Division of Molecular Life and Chemical Science

College of Engineering: Division of Electronic and Semiconductor Engineering,  Food Science and Biotechnology, Chemical Engineering and Materials Science, Architecture (5-year program), Architectural and Urban Systems Engineering, Environmental Science and Engineering, Climate and Energy Systems Engineering, Mechanical and Biomedical Engineering

College of Music: Keyboard Instruments, Orchestral Instruments, Voice Composition, Korean Music, Dance

College of Art & Design: Division of Fine Arts, Division of Design, Division of Fiber & Fashion

College of Business Administration: Division of Business Administration

College of Science & Industry Convergence: Content Convergence, Fashion Industry, International Office Administration, Nutritional Science & Food Management, Health Convergence, Division of Kinesiology & Sports Studies

Scranton College: Division of International Studies, Global Korean Studies (English Track)

College of Artificial Intelligence: Computer Science and Engineering, Cyber Security"
Kyungpook National University,"Kyungpook National University (KNU) is one of the ten Flagship Korean National Universities, representing Gyeongbuk Province in South Korea. It traces its origins back to September 1946 when various colleges in Daegu were elevated to the status of a National College. Over time, additional departments were introduced, shaping the university into its current form.

KNU has several campuses:

- The main Daegu Campus, which has been the main campus since 1946 and hosts around 2,500 international students
- The Sangju Campus, which was integrated with KNU in 2010 and comprises 2 colleges, 19 departments, and various graduate schools
- The Daegu Medical Campus, located in the center of Daegu, which houses the medical, nursing, and dental schools

The university has a long history, with its medical school celebrating its 100th anniversary. KNU Hospital, established in 2011, has become a regional leader in cancer treatment, geriatrics, and pediatrics.

KNU has a total enrollment of over 33,500 students, including 27,295 undergraduates and 6,273 postgraduates. The university is known for its motto ""Truth, Pride, Service"" and its commitment to serving the local community, the nation, and the global community.","University ranking: 520
Language requirement: IELTS 5.5/TOPIK 3.0
Tuition fee: 1,900,000 - 2,500,000 KRW
Application fee: 80,000 KRW
Deadline: 04.15-05.03","Daegu Campus:

Humanities: Korean Language & Literature, English Language & Literature, History,
Philosophy, French Language & Literature, German Language Literature, Chinese Language & Literature, Archaeology & Anthropology, Japanese Language & Literature, Korean Literature in Classical Literature Chinese, Russian Language & Literature

    Social Sciences: Political Science & Diplomacy, Sociology, Library & Information Science, Geography, Psychology, Social Welfare, Media and Communication

    Natural Sciences: Mathematics, Physics, Chemistry, Biotechnology, Earth System Science,
Biology, Natural Sciences, Statistics

Economic&Business Administration: Business Administration, Economics & Trade

Engineering: Materials Science and Metallurgical Engineering, Advanced Materials
Science and Engineering, Mechanical Engineering, Architecture(Architecture), Architecture
Engineering, Civil Engineering, Architecture (Architectural Engineering), Applied Chemistry, Chemical Engineering, Polymer Science and Engineering, Textile System Engineering, Environmental Energy Engineering

IT Engineering: Electronics Engineering, Electronics Engineering(Artificial Intelligence),
Computer Science and Engineering (Platform Engineering, Software, Data Science), Computer Science and Engineering (Artificial Intelligence Computing), Computer Science and Engineering (Global software convergence), Computer Science and Engineering (Global Software Convergence), Electrical Engineering

 Agriculture and Life Sciences: Applied Bioscience, Plant Medicine, Food Science & Horticultural Sciences, Biotechnology, Agriculture &Life Sciences, Forest Sciences and
Bio-fibers and Materials Science, Landscaper, Agricultural Civil Engineering, Smart Bio-Industrial Mechanical Engineering, Food and Resource Economics

 Music and Arts: Korean Traditional Music

 Teachers College: History Education

 Human Ecology: Child Studies, Clothing and Textiles, Human Ecology, Food Science and Nutrition 

 Public Administration: Public Administration

 International Studies Department (English track)

Sangju Campus:

Ecology &Environmental Science: Plant Resources, Entomology, Animal Science, Forest Ecology and Protection, Horse/Companion and wild Animal Science, Animal Biotechnology
Tourism, Kinesiology (Sport Studies)

Science &Technology: Construction and Disaster Prevention Engineering, Environmental and Safety Engineering, Precision Mechanical Engineering, Automotive Engineering, Nano & Advanced Materials Science and Engineering, Software, Energy Chemical Engineering,
Food and Food Service Industry, Textile Fashion, Textile Fashion Design(Fashion Design), Design (Textile Engineering), Location-Based Information System, Smart Plant Engineering"
Hankuk Foreign Studies,"Hankuk University of Foreign Studies is a private research university based in Seoul, South Korea. It was founded in 1954 as a college focused on teaching foreign languages, and has since expanded to offer a wide range of academic programs across the humanities, social sciences, natural sciences, and more.

HUFS is known as the ""birthplace of foreign language education in Korea"" and currently teaches 45 foreign languages. The university has a strong focus on international studies, regional studies, and producing graduates who can contribute to Korea's diplomatic and trade affairs.

In terms of rankings, HUFS regularly ranks among the top universities in South Korea, especially in the fields of humanities and social sciences. It is ranked #=575 in the QS World University Rankings 2024 and #17 nationally in South Korea.

Beyond the classroom, HUFS has a vibrant campus life with various student clubs and amenities like sports fields, a gym, and a community center. The university has two main campuses - the Seoul campus and the Global campus in Yongin.

HUFS has an extensive network of international partnerships, with academic exchange agreements with 431 universities and 139 institutions across 92 countries. The university attracts a diverse student body, including over 3,600 international students.","University ranking: 575
Language requirement: IELTS 5.5/TOPIK 3.0
Tuition fee: 4,000,000 KRW - 5,200,000
Application fee: 158,000 KRW
Deadline: 1-round: 03.04-03.22  2-round: 04.15-05.31 ","Seoul Campus:

College of English: English Linguistics and Language Technology (ELLT) (English track), English Literature and Culture English for International Conferences and Communication (EICC)

College of Occidental Languages: Division of French Language, German, Russian, Spanish, Italian, Portuguese, Dutch, Scandinavian Languages

College of Asian Languages & Culture: Malay-Indonesian, Arabic, Thai, Vietnamese, Hindi, Turkish and Azerbaijani, Persian and Iranian Studies, Mongolian

College of Chinese: Chinese Language, Literature and Culture China Data Curation, Chinese Foreign Affairs and Commerce

College of Japanese: Japanese Language, Literature and Culture, Integrated Japanese Studies
College of Social Science: Political Science and Diplomacy, Public Administration, Media Communication Division

College of Business and Economics: Economics

College of Business: Business Administration

College of Education: English Education, Korean Education French Education, German Education, Chinese Education

College of AI Convergence: Social Science & AI, Language & AI

Division of International Studies: International Studies (English track)

Division of KFL: Korean Education as a Foreign Language, Korean Interpretation and Translation as a Foreign Language

Global Campus: 

College of Humanities: Department of Philosophy, Department of History, Department of Linguistics and Cognitive Science

College of Central and East European Studies: Polish, Romanian, Czech and Slovak Studies, Hungarian, South Slavic Studies Ukrainian Studies

College of International and Area Studies: Greek and Bulgarian Studies, Central Asian Studies, African Studies, Korean Studies
College of Business and Economics: Global Business & Technology International Finance

College of Natural Science: Mathematics, Statistics, Electronic Physics, Environmental Science, Bioscience and Biotechnology, Chemistry

College of Engineering: Computer Engineering, Information Communications Engineering, Division of Semiconductor & Electronics Engineering, Industrial and Management Engineering

Ingenium College of Convergence Studies: Faculty of Convergence Studies

College of Culture & Technology: Division of Digital Contents, Division of Tourism & Wellness, Division of Global Sport Industry

College of AI Convergence: AI Data Convergence, Finance & AI Convergence

Division of Biomedical Engineering: Biomedical Engineering Studies

Global Open Major Division: Global Open Major Division

Division of Climate Changes: Climate Changes"
Pusan National University,"Pusan National University (PNU) is a prestigious public research university located in Busan, South Korea's second-largest city. It was established by the South Korean government in 1946 as one of the flagship universities designed to lead the country's development.

PNU has grown from its initial two faculties of humanities and fisheries to now comprise 12 colleges, a general graduate school, and 6 professional graduate schools. The university offers a competitive curriculum across the social sciences, humanities, natural sciences, engineering, and medicine, with a total of 115 undergraduate majors.

PNU is known for its research strengths in areas such as mechanical engineering, naval architecture, ocean engineering, molecular sciences, longevity life sciences, renewable energy, and transport systems innovation. The university has a ""best researcher system"" that provides significant cash prizes to academics who publish in top journals or lead successful research projects.

In terms of rankings, Pusan National University is ranked #611-620 in the QS World University Rankings 2024. It is also ranked #151-200 in the QS World University Rankings by Subject and #60 in the QS Asian University Rankings for Eastern Asia.

PNU has a total enrollment of 17,667 students, with 75% at the undergraduate level and 25% at the postgraduate level. The university has a student-faculty ratio of 16.9:1 and a 55:45 ratio of females to males.

Beyond its main campus in Busan, PNU operates additional campuses in Yangsan, focusing on healthcare and biosciences, and Miryang, specializing in nanotechnology and biotechnology. The university also offers a global studies program taught entirely in English by native speakers.","University ranking: 611-620
Language requirement: TOPIK 3.0
Tuition fee: 1,800,000 - 2,900,000 KRW
Application fee: 120,000 KRW
Deadline: 03.08-03.26","College of Humanities: Department of Korean Language and Literature, Department of Chinese Language and Literature, Department of Japanese Language and Literature, Department of English Language and Literature, Department of French Language and Literature, Department of German Language and Literature, Department of Russian Language and Literature, Department of Korean Literature in Chinese Characters, Department of Language and Information Department of History, Department of Philosophy, Department of Archaeology 

College of Social Sciences: Department of Public Administration, Department of Political Science and Diplomacy, Department of Social Welfare, Department of Sociology, Department of Psychology, Department of Library, Archive and Information Studies, Department of Media & Communication

College of Economics & International Trade: Department of International Trade, Department of Economics, Department of Global Studies(English Track), Department of Tourism and Convention, Department of Public Policy & Management

School of Business: Department of Business Administration

College of Human Ecology: Department of Child Development and Family Studies

College of Natural Resources & Life Sciences: Department of Food and Resource Economics

College of Natural Sciences: Department of Mathematics, Department of Statistics, Department of Physics, Department of Chemistry, Department of Biological Sciences, Department of Microbiology, Department of Molecular Biology, Department of Geological Sciences, Department of Atmospheric Environmental Sciences, Department of Oceanography 

College of Engineering: School of Mechanical Engineering, Department of Polymer Science and Engineering, Department of Organic Material Science and Engineering, School of Chemical Biomolecular and Environmental Engineering (Environmental Engineering Major, Chemical and Biomolecular Engineering Major), School of Materials Science and Engineering, School of Electrical and Electronics Engineering(Electrical Engineering Major), School of Electrical and Electronics Engineering(Electronics Engineering Major), School of Electrical and Electronics Engineering(Semiconductor Engineering Major), Department of Architecture(5-year program), Department of Architectural Engineering, Department of Urban Planning & Engineering, Department of Civil Engineering, Department of Aerospace Engineering, Department of Industrial Engineering, Department of Naval Architecture and Ocean Engineering

College of Nursing: Department of Nursing

College of Human Ecology: Department of Clothing and Textiles, Department of Food Science and Nutrition, Department of Interior & Environmental Design

College of Natural Resources & Life Sciences: Department of Plant Bioscience, Department of Horticultural Bioscience, Department of Animal Science, Department of Food Science & Technology, Department of Life Science & Environmental Biochemistry, Department of Biomaterial Science, Department of Bio-Industrial Machinery Engineering, Department of Applied Information Technology and Engineering, Department of Bioenvironmental Energy, Department of Landscape Architecture

College of Information and BioMedical Engineering: School of BioMedical Convergence Engineering, School of Computer Science and Engineering (Computer Engineering Major, Artificial Intelligence Major)

College of Arts: Department of Music (Vocal Music, Composition), Department of Fine Arts (Carving & Modeling, Korean Painting, Western Painting), Department of Plastic Arts (Wooden Furniture Painting, Ceramics, Textiles & Metal), Department of Korean Music (String·Vocal, Wind·Percussion, Theory·Composition), Department of Dance (Korean Dance, Ballet, Modern Dance), Department of Design (Visual Design, Animation, Design & Technology ), Department of Art Culture and Image"
Ajou University,"Ajou University is a private research university located in Suwon, Gyeonggi Province, South Korea. It was founded in 1973 with the motto ""Asia's best university for the 21st century"".

Ajou University has 10 colleges and offers a wide range of academic programs, with particular strengths in engineering, IT, biotechnology, nanotechnology, medical science, business, and international studies. The university has a total enrollment of around 14,000 students, including 9,000 undergraduates, 3,500 graduate students, and 1,500 in other programs.

Ajou University is recognized for its innovative international programs and strong support for international students. It has collaborative partnerships with over 200 universities across 58 countries. The university offers various international programs, including student and faculty exchanges, an international summer school, and a Korean language program[2].

In terms of rankings, Ajou University is ranked #631-640 in the QS World University Rankings 2024. It is also ranked #101-150 in the QS World University Rankings by Subject and #=505 in the QS Sustainability Ranking.

Beyond academics, Ajou University has a vibrant campus life and is actively involved in supporting startups and entrepreneurship. The university has hosted conferences on startup support in collaboration with the local Suwon City government.

Ajou University has also established a campus in Tashkent, Uzbekistan, offering undergraduate programs in fields such as electrical and computer engineering, civil systems engineering, and architecture. The university has a dual degree program with the Graduate School of Business and Entrepreneurship in Uzbekistan as well.","University ranking: 631-640
Language requirement: IELTS 5.5/TOPIK 3.0
Tuition fee: 3,700,000 - 4,800,000 KRW
Application fee: 150,000 KRW
 Deadline: 03.25-04.17","College of Engineering: Mechanical Engineering, Industrial Engineering, Chemical Engineering, Material Science and Engineering Applied Chemistry and Biological Engineering, College of Engineering, Environmental and Safety, Engineering Civil System Engineering, Transportation System Engineering, Architecture Engineering Major(4-years) Architecture(5 year)

College of Information Technology: Electrical and Computer Engineering

College of Computing and Informatics: Software and Computer Engineering, Cyber Security, Digital Media

College of Natural Sciences: Mathematics, Physics, Chemistry, Biological Science

School of Business: Business Administration (English track)

College of Humanities: Korean Language and Literature, English Language and Literature, French Language Literature, History, Culture and Contents

College of Social Sciences: Economics, Public Administration, College of Social Sciences, Psychology, Sociology, Political Science and Diplomacy"
,,,
Inha University,"Inha University is a private research university located in Incheon, South Korea, about 27 km southwest of the capital Seoul. The university was founded in 1954 as the Inha Institute of Technology, with the name ""Inha"" formed from the first two letters of ""Incheon"" and ""Hawaii"", reflecting its origins in a group of Korean immigrants to Hawaii who helped establish the institution.

Inha University has grown from its initial focus on engineering and technology to now offer a wide range of academic programs across 12 colleges, including engineering, natural sciences, economics, business, education, law, social sciences, humanities, and medicine. The university has a total enrollment of around 16,000 students, with 86% at the undergraduate level and 14% at the postgraduate level.

In terms of rankings, Inha University is ranked #691-700 in the QS World University Rankings 2024[3]. It is also ranked #21 nationally in South Korea according to the QS National Rankings, and #22-27 in the THE National Rankings.

Beyond its main campus in Incheon, Inha University has established an overseas campus in Tashkent, Uzbekistan in 2014, the first South Korean university to do so. The university is deeply committed to internationalization, with partnerships and exchange programs with over 200 universities across 58 countries.

Inha University is known for its strong research capabilities, with 34% of its publications classified as internationally co-authored. The university has over 60 research institutes and centers covering a wide range of disciplines, from science and technology to the humanities and social sciences.","University ranking: 691-700
 Language requirement: IELTS 5.5/TOPIK 3.0
Tuition fee: 4,000,000 - 5,000,000 KRW
Application fee: 105,000 KRW
 Deadline:  04.15-05.24 B19","College of Engineering: Mechanical Engineering, Aerospace Engineering, Naval Architecture & Ocean Engineering, Industrial Engineering, Chemical Engineering, Polymer Science and Engineering, Materials Science Engineering, Civil Engineering, Environmental Engineering, Geo-informational Engineering, Faculty of Architecture,
Energy Resources Engineering, Electrical Engineering, Electronic Engineering, Information and Communication Engineering

Department of Biological science: Biological Engineering, Biological Sciences

College of Software and Convergence: Computer Engineering

College of Natural Science: Mathematics, Statistics, Physics, Chemistry, Ocean Sciences, Food and Nutrition

College of Business Administration: Business Administration, Global Finance and Banking, Asia Pacific School of Logistics, International Trade

College of Social Science: Public Administration, Political Science and International Relations, Media Communication, Economics, Consumer Science, Child Studies, Social Welfare Studies

College of Humanities: Korean Language and Literature, History, Philosophy, China Studies, Japanese Language and Culture, English Language and Literature, French Language and Culture, Cultural Contents and Management

College of Medicine: Nursing

 College of Education: Physical Education

College of Arts and Sports: Fine Arts, Design Convergence, Kinesiology, Theater and Film Studies, Fashion Design and Textiles

School of Global Convergence Studies: International Business & Trade, Integrated System Engineering, Korean Language & Culture (All English Track)"
Jeonbuk National University,"Jeonbuk National University (JBNU) is a prominent public research university located in Jeonju, South Korea. It was established in 1947 and has a long history as one of the leading universities in the country.

JBNU offers a diverse range of academic programs across 12 colleges and specialized graduate schools, including programs in humanities, social sciences, natural sciences, engineering, agriculture, veterinary medicine, law, and business administration. The university has a total enrollment of around 16,000 students.

Jeonbuk National University is known for its strong research capabilities, contributing significantly to fields like engineering, biotechnology, and agriculture. The university collaborates extensively with industry partners and international institutions to conduct cutting-edge research and promote innovation.

In terms of facilities, JBNU's main campus in Jeonju is equipped with state-of-the-art research centers, libraries, laboratories, and sports complexes to support students' academic and extracurricular activities. The campus is located in a city with rich cultural heritage, providing students with a unique living experience.

JBNU actively promotes internationalization, with numerous partnerships and exchange programs with universities around the world. The university offers some programs taught in English and welcomes a diverse international student population.

Beyond academics, Jeonbuk National University provides a vibrant campus life, with various student clubs, sports teams, and volunteer organizations for students to engage in. The university also offers comprehensive support services for academic advising, career planning, and personal development.","University ranking: 721-730
Language requirement: IELTS 5.5/TOPIK 3.0
Tuition fee: 2,000,000 - 2,600,000 KRW
Application fee: 80,000 KRW
Deadline: 1-round: 03.18-03.29  2-round: 05.01-05.15","Global Convergence College: School of International Engineering and Science, The School of International Studies (English Track)

University Headquarter: Smart Farm

Global Convergence College: Public Policy

Engineering: Architectural Engineering, Mechanical Engineering, Mechanical Design Engineering (Mechanical Design Engineering), Mechanical Design Engineering (Nano-Bio Mechanical System Engineering), Mechanical System Engineering, Urban Engineering, Biomedical Engineering, Industrial and Information Systems Engineering, Software Engineering, New Materials Engineering (Electronic materials Engineering), Quantum System Engineering, Division of Convergence Technology Engineering (Major of IT Convergence Mechatronics Engineering), Division of Convergence Technology, Engineering (Major of IT Applied System Engineering), Computer Science, Engineering and Artificial Intelligence, Division of Civil/Environmental/Mineral Resources and Energy Engineering (Mineral Resources&Energy Engineering), Division of Civil/Environmental/Mineral Resources and Energy Engineering (Civil Engineering), Division of Civil/Environmental/Mineral Resources and Energy Engineering (Environmental Engineering)

Agriculture and Life Sciences: Division of Agricultural, Economics and Food Marketing (Food Marketing), Division of Agricultural Economics and Food Marketing (Agricultural Economics), Agricultural Biology, Animal Biotechnology, Wood Science and Technology, Forest Environment Science, Food Science and Technology, Horticulture, Crop Agriculture and Life Science, Landscape Architecture, Rural Construction Engineering

Education: English Education

Social Science: Social Welfare, Sociology, Media and Communication Studies, Psychology, Political Science & Diplomacy, Public Administration

Commerce: Business Administration, Economics, International Trade, Accounting

Human Ecology: Child Studies, Fashion Design, Housing Environmental Design

Arts: Dance (Ballet/Dance Education Creator), Dance (Korea Folk Dance), Dance (Contemporary Dance/Choreography), Industrial Design (Product Design), Industrial Design (Visual-Media Design), Music(Composition), Music(Voice), Music(Piano), Music(Wind Music), Music(String), Korean Music (Korean Traditional Theory/ Composition), Korean Music (Vocal/Percussion Music), Korean Music (Wind Music), Korean Music (String Music)

Humanities: Archaeology and Cultural Anthropology, Korean Language & Literature, German Studies, Library and Information Science, Spanish & Latin american studies, English Language and Literature, Japanese Studies, Chinese Language & Literature, Philosophy, French African Studies

Natural Sciences: Science studies, Physics, Division of Life Sciences (Molecular Biology Major), Division of Life Sciences (Life Sciences Major), Sport Science, Earth & Environmental Sciences"
Konkuk University,"Konkuk University is a prestigious private university located in South Korea, with its main campus in Seoul and a second campus in Chungju. Founded in 1946 as the Chosun School of Politics, it was originally intended to train future political leaders. The university was renamed Konkuk University in 1959, with the word ""konkuk"" meaning ""founding a nation"".

Konkuk University is known for its strengths in agricultural and life science research, and has been called the ""fastest growing university in Korea"". In addition to Korean, the university offers courses in various other languages including English, Japanese, Spanish, Vietnamese, French and Chinese through its Language Institute.

The Seoul campus features notable facilities such as the Sanghuh Memorial Library, Konkuk University Museum, and Ilgam Lake. The university has a student population of around 12,800, with a 48:52 ratio of females to males and 15% international students.

In 2017, Konkuk University introduced the ""Konkuk Institute of Technology"" to train students for industries with significant growth potential, offering scholarships and stipends to students in the program. The university has also been selected by the Korean government to participate in the Program for Industrial Needs-Matched Education (PRIME), receiving up to 450 billion won in funding over three years.

Konkuk University has an active student life, with over 70 student clubs and annual events like Foundation Day, Ilgam Lake Festival, and Fall Art Festival. The university has partnerships with 645 institutions in 68 countries, and in 2019 had 690 students studying abroad and 730 foreign students enrolled","University ranking: 801-850
Language requirement: TOPIK 3.0
Tuition fee: 3,000,000 - 3,500,000 KRW
Application fee: 187,000 KRW
Deadline: 03.08-03.24","College of Art and Design: Department of Industrial Design / Department of Interior Design / Department of Fashion Design / Department of Visual Communication & Media Design / Department of Media Contents / Department of Formative Arts

College of Humanities and Social Sciences: Department of Business Administration / Department of Economics and Trade / Department of Police Science /Department of Fire and Disaster Prevention / Department of Library and Information Science / Department of Social Welfare / Department of Mass Communication / Department of Children's Literature and Korean Lang. & Lit. / Department of English Language and Culture

College of Science and Technology: Department of Mechatronics Engineering / Department of Computer Engineering / Department of Biomedical Engineering / Department of Green Technology Convergence /Department of Energy Materials Science & Engineering

College of Biomedical and Health Science: Department of Medicinal Biosciences / Department of Biotechnology / Department of Food and Nutrition Science/ Department of Beauty Cosmetics / Department of Sport and Health Studies / Department of Golf Industry"
